year,country,life_expectancy,gdp_per_capita,population,number_of_child_deaths,income_per_person,continent
1960,Lebanon,NA,NA,NA,NA,NA,NA
1960,Lesotho,52.42,257.21674,851591,6619,564,Africa
1960,Liberia,41.26,1273.4841,1120313,15940,1763,Africa
1960,Libya,NA,NA,NA,NA,NA,NA
1960,Lithuania,NA,NA,NA,NA,NA,NA
1960,Luxembourg,69.48,27085.59103,314588,194,22445,Europe
1960,Macao SAR China,NA,NA,NA,NA,NA,NA
1960,Madagascar,44.78,716.08177,5099373,53000,2278,Africa
1960,Malawi,40.27,241.18609,3618595,67960,522,Africa
1960,Malaysia,59.59,1353.84563,8157106,30180,3004,Asia
1960,Maldives,NA,NA,NA,NA,NA,NA
1960,Mali,NA,NA,NA,NA,NA,NA
1960,Malta,NA,NA,NA,NA,NA,NA
1960,Marshall Islands,NA,NA,NA,NA,NA,NA
1960,Mauritania,47.55,791.08535,858168,10250,1674,Africa
1960,Mauritius,NA,NA,NA,NA,NA,NA
1960,Mexico,57.73,3808.67656,38174112,248900,5999,Americas
1960,Micronesia (Federated States of),NA,NA,NA,NA,NA,NA
1960,Moldova,NA,NA,NA,NA,NA,NA
1960,Mongolia,NA,NA,NA,NA,NA,NA
1960,Montenegro,NA,NA,NA,NA,NA,NA
1960,Morocco,NA,NA,NA,NA,NA,NA
1960,Mozambique,NA,NA,NA,NA,NA,NA
1960,Myanmar (Burma),40.79,158.83011,20986123,260600,815,Asia
1960,Namibia,NA,NA,NA,NA,NA,NA
1960,Nepal,43.81,267.07361,10063011,134600,958,Asia
1960,Netherlands,73.47,16354.54003,11448817,5281,13118,Europe
1960,New Zealand,NA,NA,NA,NA,NA,NA
1960,Nicaragua,50.76,1527.67075,1774699,17170,4275,Americas
1960,Niger,41.97,612.25519,3388764,63120,1196,Africa
1960,Nigeria,49.04,1299.94925,45137812,706800,3819,Africa
1960,North Macedonia,NA,NA,NA,NA,NA,NA
1960,Norway,73.54,23183.55983,3582507,1503,15444,Europe
1960,Oman,NA,NA,NA,NA,NA,NA
1960,Pakistan,49.12,304.71069,44908293,499600,1212,Asia
1960,Palestinian Territories,NA,NA,NA,NA,NA,NA
1960,Panama,63.19,2139.54728,1132921,4142,4077,Americas
1960,Papua New Guinea,44.44,1135.86589,2010677,15370,1093,Oceania
1960,Paraguay,67.44,1025.5166,1902875,6434,2942,Americas
1960,Peru,42.98,2684.23958,10061515,100800,5384,Americas
1960,Philippines,59.75,1059.3347,26273025,113600,2597,Asia
1960,Poland,NA,NA,NA,NA,NA,NA
1960,Portugal,64.44,4506.05043,8893971,23640,5463,Europe
1960,Puerto Rico,NA,NA,NA,NA,NA,NA
1960,Qatar,NA,NA,NA,NA,NA,NA
1960,Romania,NA,NA,NA,NA,NA,NA
1960,Russia,NA,NA,NA,NA,NA,NA
1960,Rwanda,44.16,331.57801,2933428,31050,635,Africa
1960,Samoa,NA,NA,NA,NA,NA,NA
1960,São Tomé & Príncipe,NA,NA,NA,NA,NA,NA
1960,Saudi Arabia,NA,NA,NA,NA,NA,NA
1960,Senegal,45.53,1080.32335,3206749,45190,2023,Africa
1960,Serbia,NA,NA,NA,NA,NA,NA
1960,Seychelles,60.89,2829.64066,41540,146,6027,Africa
1960,Sierra Leone,39.06,376.04518,2297110,37550,1280,Africa
1960,Singapore,65.99,3389.55583,1633086,3137,4992,Asia
1960,Slovakia,NA,NA,NA,NA,NA,NA
1960,Slovenia,NA,NA,NA,NA,NA,NA
1960,Solomon Islands,NA,NA,NA,NA,NA,NA
1960,South Africa,52.71,4527.25163,17456855,142000,7869,Africa
1960,South Korea,53.62,944.29245,25340918,80330,1151,Asia
1960,Spain,68.98,7359.96779,30489242,37880,5739,Europe
1960,Sri Lanka,NA,NA,NA,NA,NA,NA
1960,St. Lucia,NA,NA,NA,NA,NA,NA
1960,St. Vincent & Grenadines,57.77,1752.47057,80949,494,2931,Americas
1960,Sudan,48.46,887.79411,7544491,57990,2280,Africa
1960,Suriname,NA,NA,NA,NA,NA,NA
1960,Sweden,72.9,18142.87588,7482543,2212,15106,Europe
1960,Switzerland,NA,NA,NA,NA,NA,NA
1960,Tajikistan,NA,NA,NA,NA,NA,NA
1960,Tanzania,NA,NA,NA,NA,NA,NA
1960,Thailand,57.62,570.85704,27397175,167200,1537,Asia
1960,Timor-Leste,NA,NA,NA,NA,NA,NA
1960,Togo,44.42,349.04955,1580513,19230,1238,Africa
1960,Tonga,NA,NA,NA,NA,NA,NA
1960,Trinidad & Tobago,62.98,5039.08757,848479,2077,8065,Americas
1960,Tunisia,NA,NA,NA,NA,NA,NA
1960,Turkey,49.09,3175.04524,27472331,296200,4922,Asia
1960,Turkmenistan,NA,NA,NA,NA,NA,NA
1960,Uganda,NA,NA,NA,NA,NA,NA
1960,Ukraine,NA,NA,NA,NA,NA,NA
1960,United Arab Emirates,NA,NA,NA,NA,NA,NA
1960,United Kingdom,70.96,13827.44964,52433157,25420,13799,Europe
1960,United States,69.86,17036.88517,186808228,131200,18058,Americas
1960,Uruguay,67.73,5474.62153,2538651,3639,7998,Americas
1960,Uzbekistan,NA,NA,NA,NA,NA,NA
1960,Vanuatu,NA,NA,NA,NA,NA,NA
1960,Venezuela,61.12,12449.55237,8146847,28340,12968,Americas
1960,Vietnam,NA,NA,NA,NA,NA,NA
1960,Yemen,NA,NA,NA,NA,NA,NA
1960,Zambia,50.59,1508.44269,3044846,28920,3108,Africa
1960,Zimbabwe,53.84,897.52352,3747369,24470,1996,Africa
1961,Afghanistan,NA,NA,NA,NA,NA,NA
1961,Albania,NA,NA,NA,NA,NA,NA
1961,Algeria,52.58,2078.22193,11404859,128200,5644,Africa
1961,Andorra,NA,NA,NA,NA,NA,NA
1961,Angola,NA,NA,NA,NA,NA,NA
1961,Antigua & Barbuda,NA,NA,NA,NA,NA,NA
1961,Argentina,64.17,5815.23356,20953077,33860,9505,Americas
1961,Armenia,NA,NA,NA,NA,NA,NA
1961,Aruba,NA,NA,NA,NA,NA,NA
1961,Australia,71.53,19477.7725,10493555,5722,14119,Oceania
1961,Austria,69.69,13677.46421,7111142,5502,12634,Europe
1961,Azerbaijan,NA,NA,NA,NA,NA,NA
1961,Bahamas,62.24,18675.94371,115108,280,15618,Americas
1961,Bahrain,NA,NA,NA,NA,NA,NA
1961,Bangladesh,44.33,382.00477,49592802,591900,1094,Asia
1961,Barbados,NA,NA,NA,NA,NA,NA
1961,Belarus,NA,NA,NA,NA,NA,NA
1961,Belgium,70.5,13804.19935,9225407,5461,13098,Europe
1961,Belize,61.28,1093.58687,94703,484,2032,Americas
1961,Benin,41.64,529.29734,2465867,31600,1200,Africa
1961,Bhutan,NA,NA,NA,NA,NA,NA
1961,Bolivia,46.74,1306.59063,3764813,43940,2685,Americas
1961,Bosnia & Herzegovina,NA,NA,NA,NA,NA,NA
1961,Botswana,52.52,405.79864,537249,3727,991,Africa
1961,Brazil,57.36,3668.48808,74351763,518800,4666,Americas
1961,Brunei,NA,NA,NA,NA,NA,NA
1961,Bulgaria,NA,NA,NA,NA,NA,NA
1961,Burkina Faso,39.19,245.19858,4894580,73630,681,Africa
1961,Burundi,42.34,181.21768,2839666,33400,543,Africa
1961,Cambodia,NA,NA,NA,NA,NA,NA
1961,Cameroon,46.64,947.82524,5285231,62040,1841,Africa
1961,Canada,71.36,17861.9356,18304387,15000,14582,Americas
1961,Cape Verde,NA,NA,NA,NA,NA,NA
1961,Central African Republic,41.95,621.04237,1529227,17310,1451,Africa
1961,Chad,44.9,692.45299,3060355,38810,1469,Africa
1961,Chile,58.61,3918.36704,7890156,40870,6074,Americas
1961,China,33.3,140.9135,668334897,6628000,560,Asia
1961,Colombia,61.61,2260.89862,16982315,89160,3533,Americas
1961,Comoros,NA,NA,NA,NA,NA,NA
1961,Congo - Brazzaville,45.43,1510.25819,1064111,7480,2500,Africa
1961,Congo - Kinshasa,46.8,903.12577,15637733,193600,1957,Africa
1961,Costa Rica,63.99,2729.15765,1381917,6285,4276,Americas
1961,Côte d’Ivoire,43.28,1276.47651,3694205,54260,2730,Africa
1961,Croatia,NA,NA,NA,NA,NA,NA
1961,Cuba,NA,NA,NA,NA,NA,NA
1961,Cyprus,NA,NA,NA,NA,NA,NA
1961,Czechia,NA,NA,NA,NA,NA,NA
1961,Denmark,72.44,22263.99853,4614027,1997,16211,Europe
1961,Djibouti,NA,NA,NA,NA,NA,NA
1961,Dominica,NA,NA,NA,NA,NA,NA
1961,Dominican Republic,57.81,1253.49312,3406299,23430,2511,Americas
1961,Ecuador,58.28,2215.09177,4676859,33270,4450,Americas
1961,Egypt,48.09,641.1322,27744712,397500,2082,Africa
1961,El Salvador,NA,NA,NA,NA,NA,NA
1961,Equatorial Guinea,NA,NA,NA,NA,NA,NA
1961,Eritrea,NA,NA,NA,NA,NA,NA
1961,Estonia,NA,NA,NA,NA,NA,NA
1961,Eswatini,NA,NA,NA,NA,NA,NA
1961,Ethiopia,NA,NA,NA,NA,NA,NA
1961,Fiji,60.25,1774.50064,407156,1222,3580,Oceania
1961,Finland,68.75,13030.45988,4467773,2251,11356,Europe
1961,France,71.25,13524.44929,46470824,23820,12180,Europe
1961,Gabon,44.14,4974.19455,504167,4498,1646,Africa
1961,Gambia,NA,NA,NA,NA,NA,NA
1961,Georgia,NA,NA,NA,NA,NA,NA
1961,Germany,NA,NA,NA,NA,NA,NA
1961,Ghana,51.3,1055.41237,6866539,64240,2267,Africa
1961,Greece,70.86,7476.29746,8311808,9123,6632,Europe
1961,Grenada,NA,NA,NA,NA,NA,NA
1961,Guatemala,45.11,1480.50804,4336143,40370,3342,Americas
1961,Guinea,NA,NA,NA,NA,NA,NA
1961,Guinea-Bissau,NA,NA,NA,NA,NA,NA
1961,Guyana,59.53,1706.20435,589274,1913,3163,Americas
1961,Haiti,NA,NA,NA,NA,NA,NA
1961,Honduras,50.88,1085.56596,2096407,19920,2486,Americas
1961,Hong Kong SAR China,NA,NA,NA,NA,NA,NA
1961,Hungary,NA,NA,NA,NA,NA,NA
1961,Iceland,NA,NA,NA,NA,NA,NA
1961,India,42.24,309.35356,458494963,4317000,1043,Asia
1961,Indonesia,46.7,710.66751,90138235,833600,1810,Asia
1961,Iran,49.34,3237.90789,22480418,312500,5743,Asia
1961,Iraq,NA,NA,NA,NA,NA,NA
1961,Ireland,NA,NA,NA,NA,NA,NA
1961,Israel,67.61,9413.23499,2174267,2194,7504,Asia
1961,Italy,69.75,11681.30547,50095597,46960,11057,Europe
1961,Jamaica,NA,NA,NA,NA,NA,NA
1961,Japan,68.63,9396.22121,94560845,59520,5370,Asia
1961,Jordan,NA,NA,NA,NA,NA,NA
1961,Kazakhstan,NA,NA,NA,NA,NA,NA
1961,Kenya,51.68,481.36724,8361441,75100,1767,Africa
1961,Kiribati,NA,NA,NA,NA,NA,NA
1961,Kuwait,NA,NA,NA,NA,NA,NA
1961,Kyrgyzstan,NA,NA,NA,NA,NA,NA
1961,Laos,NA,NA,NA,NA,NA,NA
1961,Latvia,NA,NA,NA,NA,NA,NA
1961,Lebanon,NA,NA,NA,NA,NA,NA
1961,Lesotho,53.03,257.5164,866462,6713,560,Africa
1961,Liberia,41.65,1276.44537,1144986,16320,1760,Africa
1961,Libya,NA,NA,NA,NA,NA,NA
1961,Lithuania,NA,NA,NA,NA,NA,NA
1961,Luxembourg,69.99,27867.78139,317441,169,23174,Europe
1961,Macao SAR China,NA,NA,NA,NA,NA,NA
1961,Madagascar,45.37,713.37738,5223568,51490,2282,Africa
1961,Malawi,40.53,253.89834,3700023,69630,538,Africa
1961,Malaysia,60.17,1411.48665,8418460,29520,3132,Asia
1961,Maldives,NA,NA,NA,NA,NA,NA
1961,Mali,NA,NA,NA,NA,NA,NA
1961,Malta,NA,NA,NA,NA,NA,NA
1961,Marshall Islands,NA,NA,NA,NA,NA,NA
1961,Mauritania,48.33,888.01585,883221,10240,1944,Africa
1961,Mauritius,NA,NA,NA,NA,NA,NA
1961,Mexico,58.33,3875.26018,39394126,246300,6112,Americas
1961,Micronesia (Federated States of),NA,NA,NA,NA,NA,NA
1961,Moldova,NA,NA,NA,NA,NA,NA
1961,Mongolia,NA,NA,NA,NA,NA,NA
1961,Montenegro,NA,NA,NA,NA,NA,NA
1961,Morocco,NA,NA,NA,NA,NA,NA
1961,Mozambique,NA,NA,NA,NA,NA,NA
1961,Myanmar (Burma),41.41,156.21525,21438025,251400,814,Asia
1961,Namibia,NA,NA,NA,NA,NA,NA
1961,Nepal,44.32,267.94317,10221759,132700,965,Asia
1961,Netherlands,73.66,16188.54185,11606402,5288,13338,Europe
1961,New Zealand,NA,NA,NA,NA,NA,NA
1961,Nicaragua,51.51,1590.79274,1830400,17000,4448,Americas
1961,Niger,42.14,622.18383,3486295,64730,1223,Africa
1961,Nigeria,49.77,1276.28521,46062905,713600,3559,Africa
1961,North Macedonia,NA,NA,NA,NA,NA,NA
1961,Norway,73.55,24443.00513,3611146,1480,16318,Europe
1961,Oman,NA,NA,NA,NA,NA,NA
1961,Pakistan,50.12,315.39375,45984892,494100,1254,Asia
1961,Palestinian Territories,NA,NA,NA,NA,NA,NA
1961,Panama,63.74,2303.95141,1167035,4139,4393,Americas
1961,Papua New Guinea,45.19,1181.81772,2051947,15070,1140,Oceania
1961,Paraguay,67.72,1067.96408,1953328,6486,3001,Americas
1961,Peru,43.42,2801.07316,10350242,100300,5672,Americas
1961,Philippines,60.08,1082.11094,27164617,111500,2663,Asia
1961,Poland,NA,NA,NA,NA,NA,NA
1961,Portugal,63.06,4717.32419,8919603,23190,5766,Europe
1961,Puerto Rico,NA,NA,NA,NA,NA,NA
1961,Qatar,NA,NA,NA,NA,NA,NA
1961,Romania,NA,NA,NA,NA,NA,NA
1961,Russia,NA,NA,NA,NA,NA,NA
1961,Rwanda,44.5,310.69094,2996096,30870,605,Africa
1961,Samoa,NA,NA,NA,NA,NA,NA
1961,São Tomé & Príncipe,NA,NA,NA,NA,NA,NA
1961,Saudi Arabia,NA,NA,NA,NA,NA,NA
1961,Senegal,45.8,1082.76521,3295293,46320,2067,Africa
1961,Serbia,NA,NA,NA,NA,NA,NA
1961,Seychelles,61.52,2616.87435,42400,145,5543,Africa
1961,Sierra Leone,39.42,377.57275,2329204,37630,1276,Africa
1961,Singapore,66.41,3544.81328,1689546,2839,5523,Asia
1961,Slovakia,NA,NA,NA,NA,NA,NA
1961,Slovenia,NA,NA,NA,NA,NA,NA
1961,Solomon Islands,NA,NA,NA,NA,NA,NA
1961,South Africa,53.17,4579.63509,17920673,140700,7954,Africa
1961,South Korea,54.37,979.77453,26094750,77400,1173,Asia
1961,Spain,69.37,8155.17454,30817570,35390,6437,Europe
1961,Sri Lanka,60.43,585.9312,10111646,36520,1870,Asia
1961,St. Lucia,NA,NA,NA,NA,NA,NA
1961,St. Vincent & Grenadines,58.88,1805.20535,82142,469,3014,Americas
1961,Sudan,48.9,864.85124,7769482,58770,2222,Africa
1961,Suriname,NA,NA,NA,NA,NA,NA
1961,Sweden,73.36,19083.55897,7530181,2209,16008,Europe
1961,Switzerland,NA,NA,NA,NA,NA,NA
1961,Tajikistan,NA,NA,NA,NA,NA,NA
1961,Tanzania,NA,NA,NA,NA,NA,NA
1961,Thailand,58.2,583.84296,28224204,166100,1566,Asia
1961,Timor-Leste,NA,NA,NA,NA,NA,NA
1961,Togo,45.17,387.35691,1597526,19100,1289,Africa
1961,Tonga,NA,NA,NA,NA,NA,NA
1961,Trinidad & Tobago,63.57,5634.32949,865360,2047,8228,Americas
1961,Tunisia,NA,NA,NA,NA,NA,NA
1961,Turkey,49.92,3134.77887,28146893,288300,4881,Asia
1961,Turkmenistan,NA,NA,NA,NA,NA,NA
1961,Uganda,NA,NA,NA,NA,NA,NA
1961,Ukraine,NA,NA,NA,NA,NA,NA
1961,United Arab Emirates,NA,NA,NA,NA,NA,NA
1961,United Kingdom,70.71,14075.85942,52789816,26170,13994,Europe
1961,United States,70.27,17142.19377,189654905,127400,18170,Americas
1961,Uruguay,67.96,5539.01895,2571690,3618,8068,Americas
1961,Uzbekistan,NA,NA,NA,NA,NA,NA
1961,Vanuatu,NA,NA,NA,NA,NA,NA
1961,Venezuela,61.74,12369.00197,8461685,28730,12360,Americas
1961,Vietnam,NA,NA,NA,NA,NA,NA
1961,Yemen,NA,NA,NA,NA,NA,NA
1961,Zambia,51.07,1482.51983,3140264,29340,3048,Africa
1961,Zimbabwe,54.25,923.79535,3870756,24320,2053,Africa
1962,Afghanistan,NA,NA,NA,NA,NA,NA
1962,Albania,NA,NA,NA,NA,NA,NA
1962,Algeria,53.17,1628.38872,11690153,133000,4515,Africa
1962,Andorra,NA,NA,NA,NA,NA,NA
1962,Angola,NA,NA,NA,NA,NA,NA
1962,Antigua & Barbuda,NA,NA,NA,NA,NA,NA
1962,Argentina,64.25,5675.06004,21287682,32060,9191,Americas
1962,Armenia,NA,NA,NA,NA,NA,NA
1962,Aruba,NA,NA,NA,NA,NA,NA
1962,Australia,71.3,19254.58094,10691689,5592,14734,Oceania
1962,Austria,69.48,13953.95,7156833,5183,12852,Europe
1962,Azerbaijan,NA,NA,NA,NA,NA,NA
1962,Bahamas,62.56,19610.03485,121083,253,16405,Americas
1962,Bahrain,NA,NA,NA,NA,NA,NA
1962,Bangladesh,44.85,391.48918,51030137,592400,1069,Asia
1962,Barbados,NA,NA,NA,NA,NA,NA
1962,Belarus,NA,NA,NA,NA,NA,NA
1962,Belgium,70.23,14465.97743,9283540,5229,13663,Europe
1962,Belize,61.86,1115.51261,97384,488,2056,Americas
1962,Benin,42.19,503.59908,2502896,31820,1134,Africa
1962,Bhutan,NA,NA,NA,NA,NA,NA
1962,Bolivia,47.12,1353.03319,3838097,43810,2772,Americas
1962,Bosnia & Herzegovina,NA,NA,NA,NA,NA,NA
1962,Botswana,52.88,422.17203,550840,3708,1004,Africa
1962,Brazil,57.86,3747.85989,76573248,522700,4827,Americas
1962,Brunei,NA,NA,NA,NA,NA,NA
1962,Bulgaria,NA,NA,NA,NA,NA,NA
1962,Burkina Faso,39.77,256.77717,4960326,73590,717,Africa
1962,Burundi,42.67,193.95324,2893669,33930,580,Africa
1962,Cambodia,NA,NA,NA,NA,NA,NA
1962,Cameroon,47.18,955.91038,5399922,62830,1870,Africa
1962,Canada,71.39,18780.56413,18668576,14480,15316,Americas
1962,Cape Verde,NA,NA,NA,NA,NA,NA
1962,Central African Republic,42.5,587.43956,1556661,17270,1383,Africa
1962,Chad,45.28,715.3433,3121216,39230,1521,Africa
1962,Chile,59.04,3986.72324,8067136,39660,6209,Americas
1962,China,43.45,131.96337,679732315,4416000,569,Asia
1962,Colombia,62.19,2313.93003,17500171,90100,3594,Americas
1962,Comoros,NA,NA,NA,NA,NA,NA
1962,Congo - Brazzaville,45.95,1547.83496,1092292,7530,2399,Africa
1962,Congo - Kinshasa,47.11,1067.05938,16041263,197800,2169,Africa
1962,Costa Rica,64.59,2847.14746,1432585,6180,4381,Americas
1962,Côte d’Ivoire,44.11,1242.73298,3841071,54910,2631,Africa
1962,Croatia,NA,NA,NA,NA,NA,NA
1962,Cuba,NA,NA,NA,NA,NA,NA
1962,Cyprus,NA,NA,NA,NA,NA,NA
1962,Czechia,NA,NA,NA,NA,NA,NA
1962,Denmark,72.32,23343.23405,4649346,1964,16977,Europe
1962,Djibouti,NA,NA,NA,NA,NA,NA
1962,Dominica,NA,NA,NA,NA,NA,NA
1962,Dominican Republic,58.67,1419.27185,3521278,23560,2847,Americas
1962,Ecuador,58.98,2250.61394,4812890,33240,4569,Americas
1962,Egypt,48.61,666.79187,28506176,385500,2079,Africa
1962,El Salvador,NA,NA,NA,NA,NA,NA
1962,Equatorial Guinea,NA,NA,NA,NA,NA,NA
1962,Eritrea,NA,NA,NA,NA,NA,NA
1962,Estonia,NA,NA,NA,NA,NA,NA
1962,Eswatini,NA,NA,NA,NA,NA,NA
1962,Ethiopia,NA,NA,NA,NA,NA,NA
1962,Fiji,60.75,1775.60118,421577,1176,3586,Oceania
1962,Finland,68.46,13328.08192,4498817,2106,11634,Europe
1962,France,70.78,14224.48198,47121382,23040,12780,Europe
1962,Gabon,44.69,5285.61437,509806,4504,1884,Africa
1962,Gambia,NA,NA,NA,NA,NA,NA
1962,Georgia,NA,NA,NA,NA,NA,NA
1962,Germany,NA,NA,NA,NA,NA,NA
1962,Ghana,51.83,1064.83107,7085464,65890,2316,Africa
1962,Greece,71.23,7545.85722,8348332,8516,6840,Europe
1962,Grenada,NA,NA,NA,NA,NA,NA
1962,Guatemala,45.67,1488.87913,4464249,40660,3359,Americas
1962,Guinea,NA,NA,NA,NA,NA,NA
1962,Guinea-Bissau,NA,NA,NA,NA,NA,NA
1962,Guyana,59.68,1676.65541,606285,1952,3117,Americas
1962,Haiti,NA,NA,NA,NA,NA,NA
1962,Honduras,51.65,1116.59199,2155652,19830,2536,Americas
1962,Hong Kong SAR China,NA,NA,NA,NA,NA,NA
1962,Hungary,NA,NA,NA,NA,NA,NA
1962,Iceland,NA,NA,NA,NA,NA,NA
1962,India,42.99,312.05233,467852537,4342000,1039,Asia
1962,Indonesia,47.54,704.83644,92558005,825100,1791,Asia
1962,Iran,49.99,3425.98883,23071429,310200,5714,Asia
1962,Iraq,NA,NA,NA,NA,NA,NA
1962,Ireland,NA,NA,NA,NA,NA,NA
1962,Israel,67.88,9880.86365,2264309,2181,7914,Asia
1962,Italy,69.14,12322.31451,50487493,45980,11645,Europe
1962,Jamaica,NA,NA,NA,NA,NA,NA
1962,Japan,68.91,10138.39701,95458881,55160,5789,Asia
1962,Jordan,NA,NA,NA,NA,NA,NA
1962,Kazakhstan,NA,NA,NA,NA,NA,NA
1962,Kenya,52.44,510.55621,8628972,74440,1854,Africa
1962,Kiribati,NA,NA,NA,NA,NA,NA
1962,Kuwait,NA,NA,NA,NA,NA,NA
1962,Kyrgyzstan,NA,NA,NA,NA,NA,NA
1962,Laos,NA,NA,NA,NA,NA,NA
1962,Latvia,NA,NA,NA,NA,NA,NA
1962,Lebanon,NA,NA,NA,NA,NA,NA
1962,Lesotho,53.56,291.70995,882170,6812,636,Africa
1962,Liberia,42.11,1265.43269,1170480,16680,1737,Africa
